department,gender,age,years_of_service,performance_score,trainings_completed,kpi_met,awards_won,is_promoted
HR,Female,32,20,3.2,4,1,0,1
Marketing,Male,55,14,2.6,3,1,0,1
Finance,Male,57,13,4.1,2,1,1,1
Operations,Female,51,3,3.8,2,1,0,1
Operations,Male,56,13,3.1,3,1,1,1
HR,Male,30,20,3.2,2,1,1,0
Operations,Male,39,24,3.9,5,1,0,1
Operations,Male,40,25,4.1,2,0,0,1
Marketing,Male,25,23,3.6,2,0,0,0
HR,Female,27,9,3.4,3,0,0,1
Marketing,Female,54,25,2.7,3,0,0,0
Marketing,Male,53,16,3.3,5,0,0,0
HR,Female,37,23,2.9,2,0,0,0
Sales,Male,32,23,2.9,0,1,0,0
Marketing,Male,43,8,4.1,2,1,0,0
Finance,Female,57,12,3.4,1,1,0,1
Finance,Female,44,26,3.6,7,0,1,0
Operations,Female,47,28,3.7,2,0,1,1
Finance,Female,52,12,3.4,3,1,0,0
Operations,Female,50,19,3.5,2,1,0,0
Sales,Female,26,24,3.5,2,0,0,1
HR,Male,59,17,3.3,3,1,0,1
HR,Female,46,29,3.6,1,0,1,1
HR,Female,55,15,3.5,2,0,0,0
Finance,Female,33,22,3.5,2,1,0,0
Sales,Male,43,18,3.5,5,1,0,1
Finance,Male,30,7,4.5,4,0,0,0
Finance,Female,41,13,4.0,3,0,0,0
Sales,Male,50,19,3.9,2,0,0,1
Sales,Female,50,16,3.7,2,1,0,1
Sales,Male,48,11,3.7,4,0,0,0
Sales,Male,38,26,3.4,3,1,0,1
HR,Female,26,5,4.1,3,1,1,1
IT,Male,34,26,3.7,2,1,0,1
IT,Male,36,2,3.8,5,0,1,0
Sales,Female,36,1,3.4,2,1,0,0
IT,Female,39,16,3.1,3,1,0,1
IT,Male,23,5,4.1,3,1,0,1
Sales,Female,44,25,3.6,4,1,0,1
IT,Male,34,25,3.3,5,0,0,1
Finance,Female,25,7,3.7,2,0,1,1
Operations,Male,46,9,3.4,3,1,0,0
Operations,Female,32,4,4.3,5,1,0,1
Sales,Male,33,19,3.3,3,0,1,1
HR,Male,34,27,3.7,4,1,0,1
Sales,Male,30,20,4.0,4,0,0,1
HR,Female,59,15,3.8,2,1,0,0
Operations,Male,27,7,3.8,4,1,0,1
Sales,Female,31,24,3.2,8,0,0,1
Marketing,Female,44,18,3.6,4,0,0,0
Finance,Male,36,5,3.7,5,1,0,0
IT,Male,44,21,3.6,2,0,1,1
HR,Male,58,29,4.2,3,1,0,1
Marketing,Female,55,25,3.4,2,1,0,1
IT,Male,37,29,3.5,1,1,0,1
IT,Male,53,29,4.8,3,0,0,1
Sales,Female,59,13,3.9,3,1,0,1
IT,Female,26,3,3.0,4,1,0,0
Finance,Male,38,28,3.7,1,0,0,1
Marketing,Male,43,6,3.9,4,0,1,1
IT,Female,39,26,3.1,2,1,0,1
Sales,Female,49,12,3.3,6,1,0,1
Finance,Female,34,21,2.9,5,1,0,1
Operations,Female,22,18,3.6,2,1,0,1
Marketing,Male,40,18,2.7,4,0,0,0
IT,Male,55,4,3.1,2,0,0,1
Sales,Male,25,28,2.8,7,1,0,1
Operations,Male,24,20,3.7,4,1,0,1
Operations,Female,31,23,3.3,0,0,0,1
HR,Male,49,14,3.7,6,1,0,0
Finance,Male,55,28,2.6,1,1,0,0
IT,Female,40,14,3.1,3,1,0,0
Sales,Male,57,1,3.9,3,1,0,1
HR,Male,24,11,2.9,6,1,0,0
Finance,Male,44,22,4.0,6,1,0,0
HR,Female,38,27,3.4,2,1,0,1
Marketing,Female,28,29,3.1,5,1,0,1
Finance,Male,47,9,3.1,6,1,0,0
Finance,Male,39,18,3.6,4,1,0,0
IT,Female,27,28,4.6,2,1,0,1
Finance,Female,52,5,4.9,7,0,0,0
HR,Female,50,10,2.8,2,0,0,1
Finance,Female,30,15,3.8,0,0,0,0
IT,Female,56,27,4.3,3,1,0,1
IT,Male,38,10,2.9,7,0,0,0
Marketing,Male,33,16,3.2,8,0,0,0
HR,Male,57,4,3.6,3,0,0,0
Operations,Female,45,4,3.5,6,1,0,0
Operations,Female,31,8,2.8,3,1,0,1
Finance,Male,51,6,3.9,5,1,0,0
Marketing,Male,50,23,3.7,3,1,0,1
Sales,Male,31,11,4.0,3,1,0,1
Finance,Female,49,28,3.8,3,0,1,0
Marketing,Female,39,25,3.8,4,0,0,0
HR,Female,38,13,3.5,2,0,0,0
HR,Female,32,19,4.1,4,1,0,1
HR,Female,22,11,2.8,0,1,0,0
HR,Female,38,2,3.0,5,0,0,0
HR,Female,57,3,4.0,4,1,0,0
Marketing,Male,57,15,3.4,5,1,0,1
Marketing,Male,30,24,3.0,4,1,0,0
IT,Male,49,13,3.9,4,1,0,1
Operations,Male,54,25,3.8,4,1,0,1
HR,Female,24,10,2.5,3,1,0,0
Sales,Male,29,5,3.8,7,0,0,0
Marketing,Female,27,24,3.2,3,0,0,1
Sales,Male,27,11,3.7,3,0,0,1
Sales,Male,50,23,3.5,2,1,0,0
Sales,Female,58,28,3.8,5,0,0,1
IT,Male,33,14,3.5,6,1,0,0
Marketing,Male,30,28,2.9,2,0,0,0
Sales,Male,40,29,2.7,3,1,0,0
HR,Female,38,25,2.8,3,0,0,0
Finance,Male,53,20,2.9,1,1,0,1
Sales,Female,56,15,3.7,1,1,0,1
IT,Female,35,13,4.0,4,1,0,1
Marketing,Female,37,26,3.3,2,1,0,0
IT,Female,42,3,3.1,1,1,0,0
Sales,Male,33,9,3.5,3,1,0,1
Marketing,Male,45,8,2.5,2,1,1,1
Finance,Female,55,15,3.8,4,1,0,0
Sales,Male,29,23,3.5,3,1,0,1
IT,Male,42,1,3.5,4,1,0,0
Operations,Male,29,2,3.2,3,0,0,1
HR,Female,49,9,3.2,3,1,0,0
IT,Male,37,21,2.7,3,1,0,0
Marketing,Male,31,17,3.9,2,0,0,1
Sales,Female,36,9,2.9,2,0,0,0
HR,Female,25,1,3.1,1,1,0,0
Sales,Male,47,8,3.0,2,1,0,1
Marketing,Male,36,5,3.9,2,1,0,0
Sales,Female,57,11,3.2,5,0,0,0
Operations,Female,53,28,4.0,2,0,0,0
HR,Female,59,6,3.8,3,1,0,1
HR,Male,25,17,3.0,3,0,0,1
Marketing,Male,30,18,3.4,3,1,0,0
Operations,Female,56,23,2.7,2,0,0,1
IT,Female,49,18,3.7,8,0,0,0
Sales,Male,58,5,3.2,5,1,0,0
Finance,Male,30,27,3.0,4,1,0,0
Sales,Female,23,25,3.4,4,0,0,0
Sales,Male,24,5,3.3,2,0,0,1
IT,Male,26,28,3.6,3,1,0,1
Sales,Male,31,19,4.4,1,0,1,1
Operations,Male,49,27,4.2,4,0,0,1
Operations,Male,36,13,2.9,1,1,0,0
HR,Female,35,22,4.3,6,0,0,0
Marketing,Male,44,7,3.5,4,1,0,1
Finance,Male,34,26,2.2,5,0,0,1
Sales,Male,37,14,3.4,5,0,1,1
Sales,Male,51,27,2.7,2,0,0,1
IT,Male,29,26,3.3,1,0,0,1
Marketing,Male,38,27,4.5,3,0,0,1
Operations,Female,51,8,2.8,5,1,0,1
Finance,Male,38,3,2.8,2,0,0,0
HR,Male,56,27,3.5,3,1,0,0
Operations,Male,22,4,3.1,1,1,0,1
Marketing,Male,45,10,3.4,1,1,0,1
HR,Female,46,4,3.6,1,0,0,0
IT,Male,23,18,2.8,2,0,1,1
IT,Female,46,23,3.6,2,1,1,1
Sales,Male,35,12,3.1,3,1,0,0
Marketing,Female,54,20,4.0,0,1,0,1
Finance,Male,38,20,3.1,3,1,0,1
HR,Female,52,15,3.1,1,1,0,1
Operations,Male,31,13,3.0,0,1,0,1
Marketing,Male,27,12,3.3,5,1,0,0
Marketing,Female,46,8,2.8,4,0,1,1
IT,Female,59,22,3.8,5,1,0,0
Sales,Male,58,22,3.2,4,0,0,1
Sales,Male,51,27,3.9,2,1,0,1
HR,Male,55,9,3.5,1,1,0,0
IT,Female,39,20,4.4,4,1,0,0
Marketing,Male,45,9,3.4,1,0,0,1
Finance,Male,48,17,3.3,2,1,0,1
IT,Female,48,27,3.8,5,1,1,1
HR,Female,42,25,2.5,3,1,0,0
HR,Female,40,1,3.3,3,1,1,0
IT,Female,44,23,3.5,1,1,0,0
HR,Female,36,6,3.9,3,1,0,1
IT,Male,23,7,4.0,0,0,0,1
Operations,Male,56,9,4.1,2,1,0,0
IT,Female,41,10,3.4,2,0,0,0
IT,Male,49,4,3.1,5,0,0,1
HR,Female,36,16,3.5,4,0,0,1
HR,Male,37,12,3.4,4,0,0,0
Sales,Male,54,9,2.7,2,0,0,1
Sales,Female,33,3,3.6,2,1,0,0
Operations,Female,41,26,3.0,4,0,0,0
Sales,Male,50,27,3.4,1,1,1,0
IT,Female,24,27,3.4,4,0,0,0
HR,Female,26,9,4.6,2,1,0,0
Sales,Male,23,29,3.9,1,0,0,0
Sales,Male,44,17,3.8,1,1,0,1
Operations,Female,47,14,4.0,6,1,0,1
Marketing,Female,47,5,3.3,1,1,0,0
Operations,Male,28,26,2.9,3,1,0,0
IT,Female,31,21,2.4,2,1,0,1
HR,Female,26,1,3.8,3,0,0,0
Operations,Male,33,1,3.8,1,1,0,1
Sales,Female,53,3,3.1,7,1,0,1
HR,Male,52,9,3.2,3,0,0,0
HR,Male,43,23,3.1,5,1,0,1
Sales,Female,38,6,3.1,2,1,0,1
Operations,Female,41,9,3.2,5,0,0,1
Sales,Female,41,4,3.7,3,0,0,0
Marketing,Male,29,20,4.0,3,1,0,1
HR,Male,55,19,3.5,3,1,0,1
Finance,Male,44,5,4.1,1,1,0,1
Finance,Male,59,5,4.7,5,1,0,0
IT,Male,49,28,3.7,8,1,0,1
Sales,Female,34,14,3.5,6,0,1,1
Sales,Male,50,10,2.3,3,1,0,0
IT,Female,29,23,3.8,3,0,0,1
IT,Male,32,16,3.5,4,1,0,0
IT,Female,39,23,3.5,3,1,0,1
HR,Male,46,6,3.4,5,1,1,0
Marketing,Male,43,20,3.3,7,1,0,0
Sales,Male,56,23,3.0,2,1,0,1
HR,Male,50,14,3.9,2,1,0,1
IT,Female,42,18,2.1,3,0,0,0
Sales,Male,28,29,3.7,2,1,0,0
HR,Female,33,28,2.7,2,0,0,1
Marketing,Female,57,9,4.1,4,0,0,0
HR,Female,45,7,3.3,7,1,0,0
Marketing,Male,53,18,3.8,2,1,0,1
IT,Female,48,10,3.6,1,1,0,0
Marketing,Male,53,2,4.1,2,0,0,1
Sales,Male,53,13,4.4,4,1,0,0
IT,Female,53,6,4.1,1,0,0,0
Sales,Female,47,27,3.8,2,1,0,1
Finance,Male,32,23,3.4,6,0,0,1
Operations,Male,39,9,3.7,1,1,0,1
Marketing,Male,26,20,4.0,2,1,0,0
Operations,Male,37,8,3.3,1,1,0,0
Operations,Male,32,10,3.5,1,0,0,0
Marketing,Female,56,16,3.1,1,1,0,1
IT,Female,32,15,3.9,3,1,0,0
Finance,Female,44,13,3.8,2,1,0,1
Sales,Male,55,18,2.9,2,1,0,1
HR,Female,38,6,3.7,3,1,0,0
Sales,Female,31,20,3.4,3,0,1,1
HR,Female,39,24,3.6,4,1,0,1
Sales,Male,29,9,3.1,5,0,0,0
Marketing,Male,47,18,4.2,2,0,1,0
Finance,Male,24,7,3.2,2,0,0,1
HR,Female,45,23,4.6,7,1,0,1
IT,Female,24,24,3.6,2,1,0,1
Sales,Female,59,29,3.4,3,1,0,1
Sales,Male,23,5,3.7,5,1,0,1
HR,Male,56,11,3.7,7,0,0,1
IT,Male,38,13,4.5,5,0,0,1
IT,Male,30,3,3.7,6,0,0,1
Marketing,Male,57,1,2.6,4,1,0,1
Marketing,Female,43,4,3.2,4,0,0,0
Marketing,Male,52,19,3.9,5,0,0,0
Marketing,Female,55,18,3.4,3,1,0,0
Marketing,Male,45,6,3.2,1,0,0,1
Marketing,Male,30,23,3.2,11,1,0,1
Finance,Male,23,10,3.0,3,0,0,1
IT,Female,42,7,3.6,7,1,1,1
Marketing,Male,55,12,3.2,1,0,1,0
IT,Female,48,8,4.2,2,0,0,1
IT,Male,58,13,3.1,5,1,0,0
Operations,Female,28,18,2.8,2,1,0,1
Finance,Female,43,14,3.5,2,0,0,1
Marketing,Male,25,11,2.5,1,1,0,0
Sales,Female,35,28,2.3,6,1,0,0
HR,Male,55,10,3.8,2,1,1,0
Sales,Female,44,29,3.5,2,0,1,1
Finance,Male,46,6,2.5,4,1,0,0
HR,Male,22,13,3.5,6,1,0,1
Finance,Female,36,22,3.4,2,1,0,0
IT,Female,53,10,2.7,2,0,0,0
HR,Male,35,12,3.9,5,1,0,0
IT,Female,42,1,4.3,1,0,0,0
Sales,Male,28,18,4.5,1,1,0,0
Sales,Male,57,13,3.7,2,1,0,1
HR,Female,42,25,3.5,0,0,0,0
HR,Male,33,24,4.4,1,1,1,1
Marketing,Male,36,28,3.6,2,1,0,1
Finance,Female,36,29,3.3,6,1,0,1
Marketing,Male,38,4,3.2,3,1,0,1
Finance,Female,55,6,3.8,2,1,0,0
Marketing,Male,56,18,2.7,0,0,0,0
IT,Male,59,28,4.1,5,1,0,0
HR,Male,35,5,2.8,2,1,0,0
Sales,Female,26,18,3.1,1,1,0,1
Finance,Female,51,29,3.7,3,1,0,1
Finance,Male,25,5,4.4,1,1,0,0
Sales,Male,36,7,3.4,2,1,0,0
Marketing,Female,56,23,3.0,2,1,0,1
Finance,Male,31,9,4.0,3,1,0,1
IT,Female,23,3,3.3,2,1,0,0
HR,Male,45,12,2.7,5,0,0,0
Sales,Female,49,20,3.8,5,0,0,1
HR,Male,43,25,3.4,4,0,0,0
Finance,Female,53,14,3.4,2,0,0,0
Finance,Female,52,8,3.9,1,1,0,1
Sales,Male,40,12,3.9,0,0,0,1
IT,Male,42,7,3.1,2,0,0,1
Operations,Female,24,24,3.6,2,0,0,0
Sales,Female,27,9,2.7,3,1,0,0
Operations,Male,53,12,3.4,5,1,1,0
Marketing,Male,23,4,3.1,3,1,0,1
Operations,Female,45,5,3.4,4,1,0,1
IT,Male,48,9,3.3,2,0,0,1
Marketing,Female,30,7,3.4,7,1,0,0
Operations,Male,34,14,2.7,4,1,0,0
Marketing,Female,35,20,2.8,8,1,0,0
Operations,Female,32,22,3.4,3,0,0,0
IT,Female,35,27,4.2,6,1,0,0
Operations,Male,37,17,3.9,2,1,1,0
Operations,Female,31,1,3.7,5,1,0,0
Operations,Male,41,25,3.2,5,1,0,0
Sales,Female,37,15,3.0,5,1,0,0
Sales,Male,55,24,3.8,2,1,0,0
Sales,Male,37,15,2.9,1,0,0,0
IT,Female,35,29,4.3,4,1,0,0
Marketing,Male,49,1,3.5,4,0,0,0
Finance,Female,39,29,4.5,4,0,0,1
Operations,Female,47,15,4.4,5,1,0,1
Operations,Female,59,27,3.7,2,1,0,1
IT,Male,28,2,3.7,2,1,0,0
Operations,Male,55,29,3.2,1,1,0,1
Sales,Female,28,4,4.2,1,1,0,0
Finance,Male,54,17,3.3,3,0,0,1
HR,Male,56,16,2.7,4,1,0,1
Operations,Male,42,18,4.1,2,1,0,1
Sales,Male,49,21,3.8,3,1,0,1
HR,Female,53,16,3.2,6,1,0,1
Finance,Male,37,8,3.6,2,1,0,0
HR,Female,31,6,3.5,2,0,0,1
Sales,Male,44,22,4.2,4,0,0,0
Marketing,Male,36,20,3.0,2,0,0,0
Marketing,Male,27,2,4.2,4,0,0,1
HR,Male,54,19,4.2,2,1,0,0
IT,Male,33,13,3.2,5,1,0,1
HR,Female,57,22,3.7,1,1,0,1
Operations,Male,52,22,3.8,3,0,0,0
Operations,Male,31,21,5.0,4,0,0,1
Marketing,Male,55,6,3.1,3,1,0,1
IT,Male,31,27,2.5,0,0,1,1
Sales,Female,32,6,2.5,3,0,1,0
Operations,Male,35,13,3.6,3,1,1,1
Marketing,Male,24,1,4.0,3,1,0,1
Finance,Male,54,22,3.1,1,0,0,0
Marketing,Female,28,21,3.4,3,0,0,1
Operations,Male,25,24,3.3,4,1,0,0
Operations,Female,31,9,2.9,1,1,0,0
Marketing,Male,36,22,3.8,0,0,0,0
Sales,Female,37,29,2.6,7,1,0,0
HR,Female,59,12,3.8,3,0,0,0
Operations,Female,25,12,3.3,2,0,0,1
Marketing,Male,25,26,4.0,2,0,0,1
Marketing,Male,57,4,3.6,1,1,1,1
IT,Male,48,19,2.7,3,1,0,0
HR,Male,43,16,3.7,3,1,0,1
Finance,Male,43,26,3.3,2,1,0,1
Sales,Male,38,12,4.0,4,1,0,1
Finance,Female,55,1,3.9,4,0,0,1
HR,Male,53,23,4.1,4,1,0,1
HR,Male,27,21,3.3,1,1,0,0
HR,Male,54,4,3.0,4,0,1,0
Finance,Female,29,9,3.5,5,1,0,0
HR,Male,57,7,3.9,1,0,0,1
Marketing,Female,26,10,3.0,6,0,0,0
Finance,Male,26,13,3.7,1,0,0,0
HR,Male,31,8,3.7,7,0,0,1
Marketing,Male,28,20,4.2,2,1,1,1
IT,Male,33,10,3.0,4,0,0,1
HR,Female,51,28,3.7,2,1,1,1
Finance,Female,46,10,3.3,3,1,0,0
Operations,Male,49,8,3.1,3,1,0,0
HR,Female,34,20,4.5,4,0,0,1
Operations,Male,43,15,3.7,5,1,0,0
Marketing,Female,39,1,4.3,4,1,0,1
IT,Female,48,27,3.1,1,1,0,1
Sales,Male,29,15,4.3,2,1,0,1
IT,Male,27,24,3.3,2,0,0,0
HR,Male,32,17,3.9,5,1,0,0
Operations,Female,50,13,3.0,3,0,0,0
Operations,Male,26,12,3.0,6,1,0,0
Finance,Female,28,3,3.5,7,1,0,0
Operations,Female,43,23,4.3,4,1,0,1
Finance,Male,25,19,4.1,6,1,0,0
Marketing,Male,53,29,3.6,1,1,1,1
Sales,Female,40,24,3.3,4,0,0,0
HR,Male,54,5,3.7,7,1,0,1
Finance,Female,22,3,3.0,6,1,0,0
Sales,Male,29,21,3.6,0,1,0,0
Operations,Male,53,5,3.5,5,0,0,1
Operations,Male,51,24,3.5,4,1,1,1
Sales,Female,49,28,3.7,2,1,0,1
Operations,Male,53,9,3.9,4,1,0,0
Marketing,Female,46,6,2.3,4,0,0,0
Marketing,Male,55,16,3.1,5,0,0,1
Sales,Female,54,10,3.2,2,0,0,0
Finance,Female,34,16,3.4,1,0,0,0
Finance,Male,46,3,3.5,2,0,0,1
Sales,Female,31,18,3.8,4,0,0,1
Finance,Male,52,11,3.7,3,0,0,0
Finance,Male,32,19,4.1,4,1,0,1
Marketing,Male,46,25,3.3,2,0,1,1
Finance,Female,55,23,3.2,3,0,0,0
IT,Female,41,15,3.4,2,1,1,1
HR,Female,28,11,3.5,3,1,0,0
Operations,Male,54,27,3.5,5,1,0,0
IT,Female,56,25,3.4,3,1,0,1
Finance,Male,50,29,4.0,5,0,0,1
Marketing,Female,33,22,4.0,3,1,0,1
Sales,Male,26,24,4.0,1,1,0,1
Finance,Female,33,10,3.0,5,0,1,1
Marketing,Female,50,27,3.9,4,1,0,1
HR,Female,56,9,4.3,4,0,1,1
Finance,Female,41,3,4.1,2,0,1,1
Sales,Male,58,23,3.2,5,0,0,0
Marketing,Female,22,9,3.3,4,1,0,0
Marketing,Male,37,18,2.7,5,1,0,1
Marketing,Female,51,12,4.1,5,0,0,1
HR,Female,30,23,3.0,2,0,0,0
Finance,Female,31,21,3.3,0,1,0,0
HR,Male,34,24,3.8,4,1,0,0
Operations,Male,41,16,3.6,1,1,0,1
Operations,Male,50,4,3.7,4,1,0,1
Finance,Female,25,1,3.2,6,0,0,0
HR,Male,49,27,2.9,0,1,0,1
Sales,Male,58,13,3.6,3,0,0,0
Marketing,Female,34,26,3.1,1,1,0,1
Marketing,Female,24,8,3.8,4,1,0,0
Finance,Male,58,6,3.1,3,0,1,0
Operations,Male,40,29,3.4,5,0,0,0
Operations,Female,49,8,4.4,1,1,0,0
Marketing,Male,40,19,3.6,1,0,0,1
Finance,Female,38,24,3.1,4,1,0,0
HR,Male,39,24,3.7,3,1,0,1
Operations,Female,39,12,3.4,0,1,1,0
HR,Male,44,1,3.1,3,1,0,1
Operations,Male,30,4,3.5,3,1,0,0
Operations,Female,50,23,4.1,4,0,0,1
IT,Female,50,13,3.8,4,0,0,0
Operations,Male,23,27,3.4,2,0,0,1
Sales,Female,38,17,2.9,1,1,1,1
Finance,Male,52,19,3.9,6,0,0,1
Finance,Female,49,19,3.7,4,0,0,1
HR,Female,51,22,2.7,5,1,0,0
Operations,Male,56,5,2.8,2,1,0,0
Sales,Female,41,28,4.3,6,1,0,0
HR,Male,37,11,3.7,2,1,0,0
IT,Male,55,7,2.8,1,1,0,0
HR,Female,35,3,4.1,1,1,0,0
HR,Female,47,11,4.1,2,1,0,0
Operations,Male,41,17,3.1,2,0,0,1
IT,Male,45,11,3.0,1,0,0,0
HR,Male,39,15,3.5,2,1,0,0
Sales,Female,30,19,3.6,1,1,0,1
Sales,Male,40,8,3.4,0,1,1,0
Finance,Male,41,16,3.0,3,1,0,1
IT,Male,51,21,3.3,0,1,0,1
IT,Male,47,15,3.3,5,1,0,0
Finance,Male,52,3,2.8,3,0,0,1
HR,Male,56,24,4.0,4,0,0,1
IT,Male,24,6,3.0,5,1,0,1
Sales,Male,50,3,4.2,2,1,0,0
Sales,Female,27,5,3.6,4,1,0,0
Operations,Male,22,1,3.2,3,1,0,1
IT,Female,45,22,3.7,1,1,1,1
HR,Female,59,14,3.4,5,0,0,0
Finance,Female,55,12,4.2,3,1,0,0
Finance,Female,28,13,4.6,5,1,0,0
HR,Male,32,14,3.7,2,1,0,1
Marketing,Male,32,25,3.4,4,0,0,1
Operations,Male,57,12,4.3,3,0,0,0
Finance,Male,41,23,3.4,3,1,0,0
IT,Female,37,27,3.2,1,1,0,1
Operations,Female,26,13,4.1,2,1,1,0
IT,Female,45,24,3.9,3,1,0,1
Sales,Male,51,6,3.2,5,0,0,0
Operations,Female,51,27,3.7,3,1,0,1
Finance,Male,58,21,3.3,2,0,0,0
Operations,Male,54,15,3.8,2,1,0,1
Operations,Male,41,28,3.8,3,0,0,0
Operations,Female,43,22,2.9,3,1,0,0
Marketing,Male,42,23,3.5,3,0,0,0
Operations,Female,58,16,2.8,2,0,0,0
IT,Female,48,9,2.8,2,1,0,0
Sales,Female,59,8,3.3,2,0,0,0
HR,Male,56,5,3.2,1,1,0,0
Operations,Female,59,15,2.6,2,1,0,0
Finance,Female,27,7,2.9,3,1,0,1
Operations,Male,53,24,2.7,3,0,0,1
Finance,Male,37,17,3.1,2,0,0,0
IT,Male,49,16,3.8,3,1,0,1
Finance,Male,37,24,4.2,5,1,0,1
HR,Male,48,11,4.0,3,1,0,1
Sales,Female,24,7,3.7,4,0,0,0
Finance,Male,42,11,3.7,7,1,0,1
Finance,Male,59,28,3.4,0,0,0,0
Sales,Female,59,28,3.5,6,1,0,1
HR,Male,51,2,4.2,3,1,0,1
Operations,Female,43,2,3.8,2,1,0,0
Finance,Male,40,28,3.6,2,0,0,0
Sales,Female,52,6,2.6,3,0,0,1
IT,Male,41,3,3.9,1,1,0,0
Sales,Female,40,1,3.9,3,0,0,1
IT,Male,23,24,3.2,2,1,0,0
HR,Female,48,23,3.6,3,1,0,1
Operations,Male,29,20,3.4,4,1,0,1
Sales,Female,48,16,3.2,3,1,0,0
Marketing,Male,36,14,3.7,0,0,0,1
Finance,Male,33,17,3.0,4,0,1,0
HR,Female,35,18,4.5,1,1,0,0
Sales,Male,28,25,3.8,3,0,1,0
Finance,Female,38,4,3.4,8,1,0,1
Sales,Female,47,3,4.0,4,1,0,1
IT,Female,58,8,3.9,5,1,0,1
Sales,Male,41,4,3.1,6,1,0,1
Marketing,Female,31,23,3.2,2,1,0,0
Sales,Female,40,15,2.4,3,1,0,0
Sales,Female,39,13,3.0,5,0,0,1
Marketing,Male,51,14,3.8,3,0,0,1
HR,Male,51,14,3.6,3,0,0,1
Sales,Male,46,5,3.3,4,0,0,1
Marketing,Male,45,5,3.7,3,1,0,0
Finance,Male,31,27,3.2,5,1,0,0
IT,Male,23,22,2.8,4,0,1,0
IT,Female,59,28,3.0,5,1,0,1
Sales,Female,53,13,4.6,4,1,1,1
HR,Female,56,4,3.4,5,0,0,1
HR,Male,58,18,3.5,2,1,0,1
Finance,Male,28,6,3.8,3,0,1,0
Sales,Female,28,29,4.0,2,1,0,1
IT,Female,48,5,3.4,2,0,0,0
HR,Female,31,3,4.1,1,0,0,0
Sales,Female,54,20,3.4,2,1,0,0
HR,Male,28,3,3.5,5,1,1,0
Marketing,Female,27,3,3.3,2,1,0,1
